"~id",text,~label
151,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.,Tweet
152,"The fool doth think he is wise, but the wise man knows himself to be a fool.",Tweet
153,Now is the winter of our discontent.,Tweet
154,O! she doth teach the torches to burn bright.,Tweet
155,Can one desire too much of a good thing?.,Tweet
156,"The fool doth think he is wise, but the wise man knows himself to be a fool.",Tweet
157,O! she doth teach the torches to burn bright.,Tweet
158,True is it that we have seen better days.,Tweet
159,Can one desire too much of a good thing?.,Tweet
160,What's in a name? That which we call a rose by any other name would smell as sweet.,Tweet
161,Tempt not a desperate man.,Tweet
162,"The world is grown so bad, that wrens make prey where eagles dare not perch.",Tweet
163,Wisely and slow; they stumble that run fast.,Tweet
164,How bitter a thing it is to look into happiness through another man's eyes!,Tweet
165,Brevity is the soul of wit.,Tweet
166,Off with his head!,Tweet
167,"O Romeo, Romeo! wherefore art thou Romeo?.",Tweet
168,I like this place and willingly could waste my time in it.,Tweet
169,For ever and a day.,Tweet
170,The play 's the thing wherein I'll catch the conscience of the king.,Tweet
171,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts.",Tweet
172,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts.",Tweet
173,True is it that we have seen better days.,Tweet
174,A horse! a horse! my kingdom for a horse!.,Tweet
175,"The world is grown so bad, that wrens make prey where eagles dare not perch.",Tweet
176,"The lady doth protest too much, methinks.",Tweet
177,"So wise so young, they say, do never live long.",Tweet
178,That it should come to this!.,Tweet
179,"So wise so young, they say, do never live long.",Tweet
180,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow.",Tweet
181,"So wise so young, they say, do never live long.",Tweet
182,For ever and a day.,Tweet
183,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude.",Tweet
184,Can one desire too much of a good thing?.,Tweet
185,"An honest tale speeds best, being plainly told.",Tweet
186,Now is the winter of our discontent.,Tweet
187,"An honest tale speeds best, being plainly told.",Tweet
188,A horse! a horse! my kingdom for a horse!.,Tweet
189,Off with his head!,Tweet
190,"To be, or not to be: that is the question.",Tweet
191,"The world is grown so bad, that wrens make prey where eagles dare not perch.",Tweet
192,"It is the east, and Juliet is the sun.",Tweet
193,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! .",Tweet
194,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!.",Tweet
195,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love.",Tweet
196,"The fool doth think he is wise, but the wise man knows himself to be a fool.",Tweet
