"~id",~label,~from,~to
User144LikesTweet1371,Likes,144,1371
User116LikesTweet607,Likes,116,607
User130LikesTweet1369,Likes,130,1369
User53LikesTweet1104,Likes,53,1104
User92LikesTweet885,Likes,92,885
User18LikesTweet1250,Likes,18,1250
User113LikesTweet298,Likes,113,298
User104LikesTweet778,Likes,104,778
User11LikesTweet432,Likes,11,432
User33LikesTweet193,Likes,33,193
User70LikesTweet245,Likes,70,245
User65LikesTweet1510,Likes,65,1510
User2LikesTweet1176,Likes,2,1176
User15LikesTweet728,Likes,15,728
User141LikesTweet244,Likes,141,244
User144LikesTweet230,Likes,144,230
User101LikesTweet648,Likes,101,648
User82LikesTweet648,Likes,82,648
User52LikesTweet943,Likes,52,943
User78LikesTweet887,Likes,78,887
User132LikesTweet257,Likes,132,257
User114LikesTweet768,Likes,114,768
User102LikesTweet658,Likes,102,658
User36LikesTweet575,Likes,36,575
User53LikesTweet1572,Likes,53,1572
User71LikesTweet1135,Likes,71,1135
User93LikesTweet1471,Likes,93,1471
User88LikesTweet778,Likes,88,778
User42LikesTweet934,Likes,42,934
User74LikesTweet538,Likes,74,538
User37LikesTweet1177,Likes,37,1177
User5LikesTweet1033,Likes,5,1033
User62LikesTweet1245,Likes,62,1245
User28LikesTweet239,Likes,28,239
User48LikesTweet463,Likes,48,463
User47LikesTweet265,Likes,47,265
User127LikesTweet1233,Likes,127,1233
User41LikesTweet1165,Likes,41,1165
User19LikesTweet749,Likes,19,749
User123LikesTweet1293,Likes,123,1293
User95LikesTweet1425,Likes,95,1425
User21LikesTweet391,Likes,21,391
User136LikesTweet1527,Likes,136,1527
User113LikesTweet838,Likes,113,838
User43LikesTweet880,Likes,43,880
User121LikesTweet1337,Likes,121,1337
User88LikesTweet864,Likes,88,864
User16LikesTweet628,Likes,16,628
User55LikesTweet565,Likes,55,565
User54LikesTweet963,Likes,54,963
User128LikesTweet721,Likes,128,721
User148LikesTweet1135,Likes,148,1135
User89LikesTweet1115,Likes,89,1115
User86LikesTweet253,Likes,86,253
User41LikesTweet446,Likes,41,446
User17LikesTweet1081,Likes,17,1081
User113LikesTweet910,Likes,113,910
User73LikesTweet620,Likes,73,620
User43LikesTweet807,Likes,43,807
User149LikesTweet205,Likes,149,205
User143LikesTweet579,Likes,143,579
User28LikesTweet1503,Likes,28,1503
User100LikesTweet809,Likes,100,809
User144LikesTweet637,Likes,144,637
User117LikesTweet1566,Likes,117,1566
User126LikesTweet430,Likes,126,430
User44LikesTweet386,Likes,44,386
User28LikesTweet1416,Likes,28,1416
User49LikesTweet995,Likes,49,995
User2LikesTweet671,Likes,2,671
User41LikesTweet1456,Likes,41,1456
User53LikesTweet971,Likes,53,971
User108LikesTweet1187,Likes,108,1187
User76LikesTweet394,Likes,76,394
User146LikesTweet1104,Likes,146,1104
User132LikesTweet541,Likes,132,541
User44LikesTweet1352,Likes,44,1352
User65LikesTweet1635,Likes,65,1635
User102LikesTweet1086,Likes,102,1086
User141LikesTweet664,Likes,141,664
User144LikesTweet714,Likes,144,714
User149LikesTweet1393,Likes,149,1393
User81LikesTweet1099,Likes,81,1099
User85LikesTweet1371,Likes,85,1371
User121LikesTweet1487,Likes,121,1487
User4LikesTweet1193,Likes,4,1193
User63LikesTweet1133,Likes,63,1133
User31LikesTweet1203,Likes,31,1203
User98LikesTweet336,Likes,98,336
User38LikesTweet250,Likes,38,250
User76LikesTweet911,Likes,76,911
User23LikesTweet1381,Likes,23,1381
User135LikesTweet687,Likes,135,687
User42LikesTweet1279,Likes,42,1279
User28LikesTweet1079,Likes,28,1079
User137LikesTweet690,Likes,137,690
User84LikesTweet1040,Likes,84,1040
User15LikesTweet837,Likes,15,837
User58LikesTweet323,Likes,58,323
User99LikesTweet688,Likes,99,688
User56LikesTweet610,Likes,56,610
User140LikesTweet1090,Likes,140,1090
User25LikesTweet815,Likes,25,815
User82LikesTweet363,Likes,82,363
User144LikesTweet993,Likes,144,993
User138LikesTweet1444,Likes,138,1444
User58LikesTweet276,Likes,58,276
User18LikesTweet788,Likes,18,788
User139LikesTweet1082,Likes,139,1082
User87LikesTweet1634,Likes,87,1634
User129LikesTweet806,Likes,129,806
User13LikesTweet1253,Likes,13,1253
User36LikesTweet1265,Likes,36,1265
User117LikesTweet1637,Likes,117,1637
User116LikesTweet1394,Likes,116,1394
User116LikesTweet734,Likes,116,734
User132LikesTweet918,Likes,132,918
User12LikesTweet1607,Likes,12,1607
User6LikesTweet155,Likes,6,155
User110LikesTweet1592,Likes,110,1592
User57LikesTweet856,Likes,57,856
User4LikesTweet1320,Likes,4,1320
User94LikesTweet638,Likes,94,638
User106LikesTweet413,Likes,106,413
User16LikesTweet1575,Likes,16,1575
User17LikesTweet475,Likes,17,475
User19LikesTweet1047,Likes,19,1047
User148LikesTweet1009,Likes,148,1009
User10LikesTweet708,Likes,10,708
User20LikesTweet717,Likes,20,717
User7LikesTweet882,Likes,7,882
User144LikesTweet359,Likes,144,359
User22LikesTweet567,Likes,22,567
User149LikesTweet665,Likes,149,665
User136LikesTweet1553,Likes,136,1553
User110LikesTweet308,Likes,110,308
User76LikesTweet725,Likes,76,725
User111LikesTweet744,Likes,111,744
User89LikesTweet224,Likes,89,224
User110LikesTweet1085,Likes,110,1085
User91LikesTweet299,Likes,91,299
User9LikesTweet1201,Likes,9,1201
User106LikesTweet1358,Likes,106,1358
User74LikesTweet284,Likes,74,284
User15LikesTweet1031,Likes,15,1031
User79LikesTweet1224,Likes,79,1224
User54LikesTweet1043,Likes,54,1043
User90LikesTweet1494,Likes,90,1494
User53LikesTweet1239,Likes,53,1239
User79LikesTweet1479,Likes,79,1479
User41LikesTweet1429,Likes,41,1429
User90LikesTweet1463,Likes,90,1463
User31LikesTweet1605,Likes,31,1605
User91LikesTweet173,Likes,91,173
User7LikesTweet274,Likes,7,274
User24LikesTweet731,Likes,24,731
User73LikesTweet232,Likes,73,232
User8LikesTweet392,Likes,8,392
User73LikesTweet1629,Likes,73,1629
User44LikesTweet818,Likes,44,818
User108LikesTweet1044,Likes,108,1044
User65LikesTweet1229,Likes,65,1229
User134LikesTweet1275,Likes,134,1275
User7LikesTweet538,Likes,7,538
User26LikesTweet544,Likes,26,544
User128LikesTweet946,Likes,128,946
User105LikesTweet1106,Likes,105,1106
User38LikesTweet801,Likes,38,801
User83LikesTweet842,Likes,83,842
User85LikesTweet1484,Likes,85,1484
User132LikesTweet1281,Likes,132,1281
User92LikesTweet997,Likes,92,997
User144LikesTweet1628,Likes,144,1628
User67LikesTweet1507,Likes,67,1507
User113LikesTweet567,Likes,113,567
User81LikesTweet1427,Likes,81,1427
User114LikesTweet551,Likes,114,551
User128LikesTweet333,Likes,128,333
User114LikesTweet539,Likes,114,539
User79LikesTweet1006,Likes,79,1006
User129LikesTweet865,Likes,129,865
User132LikesTweet1571,Likes,132,1571
User101LikesTweet726,Likes,101,726
User51LikesTweet765,Likes,51,765
User131LikesTweet308,Likes,131,308
User14LikesTweet1075,Likes,14,1075
User22LikesTweet1626,Likes,22,1626
User147LikesTweet264,Likes,147,264
User52LikesTweet575,Likes,52,575
User97LikesTweet852,Likes,97,852
User57LikesTweet1056,Likes,57,1056
User67LikesTweet176,Likes,67,176
User107LikesTweet1366,Likes,107,1366
User23LikesTweet485,Likes,23,485
User126LikesTweet415,Likes,126,415
User15LikesTweet1043,Likes,15,1043
User108LikesTweet501,Likes,108,501
User128LikesTweet1040,Likes,128,1040
User106LikesTweet275,Likes,106,275
User12LikesTweet1219,Likes,12,1219
User111LikesTweet1024,Likes,111,1024
User38LikesTweet915,Likes,38,915
User73LikesTweet1291,Likes,73,1291
User42LikesTweet1189,Likes,42,1189
User43LikesTweet1136,Likes,43,1136
User37LikesTweet876,Likes,37,876
User139LikesTweet943,Likes,139,943
User66LikesTweet897,Likes,66,897
User3LikesTweet784,Likes,3,784
User75LikesTweet1046,Likes,75,1046
User103LikesTweet1104,Likes,103,1104
User74LikesTweet841,Likes,74,841
User26LikesTweet375,Likes,26,375
User117LikesTweet338,Likes,117,338
User114LikesTweet239,Likes,114,239
User8LikesTweet1418,Likes,8,1418
User76LikesTweet1411,Likes,76,1411
User140LikesTweet1189,Likes,140,1189
User99LikesTweet731,Likes,99,731
User108LikesTweet902,Likes,108,902
User25LikesTweet633,Likes,25,633
User133LikesTweet1412,Likes,133,1412
User91LikesTweet770,Likes,91,770
User85LikesTweet1079,Likes,85,1079
User16LikesTweet1294,Likes,16,1294
User117LikesTweet223,Likes,117,223
User138LikesTweet545,Likes,138,545
User35LikesTweet1275,Likes,35,1275
User6LikesTweet1552,Likes,6,1552
User44LikesTweet398,Likes,44,398
User7LikesTweet267,Likes,7,267
User121LikesTweet1464,Likes,121,1464
User144LikesTweet411,Likes,144,411
User56LikesTweet1571,Likes,56,1571
User147LikesTweet1194,Likes,147,1194
User90LikesTweet860,Likes,90,860
User68LikesTweet1140,Likes,68,1140
User30LikesTweet1589,Likes,30,1589
User24LikesTweet508,Likes,24,508
User14LikesTweet727,Likes,14,727
User29LikesTweet479,Likes,29,479
User96LikesTweet1508,Likes,96,1508
User142LikesTweet512,Likes,142,512
User70LikesTweet158,Likes,70,158
User54LikesTweet272,Likes,54,272
User108LikesTweet417,Likes,108,417
User29LikesTweet934,Likes,29,934
User119LikesTweet657,Likes,119,657
User85LikesTweet552,Likes,85,552
User112LikesTweet1077,Likes,112,1077
User146LikesTweet1419,Likes,146,1419
User135LikesTweet387,Likes,135,387
User110LikesTweet1074,Likes,110,1074
User70LikesTweet679,Likes,70,679
User139LikesTweet286,Likes,139,286
User112LikesTweet563,Likes,112,563
User34LikesTweet890,Likes,34,890
User112LikesTweet509,Likes,112,509
User103LikesTweet1407,Likes,103,1407
User38LikesTweet1263,Likes,38,1263
User144LikesTweet273,Likes,144,273
User74LikesTweet1030,Likes,74,1030
User143LikesTweet534,Likes,143,534
User12LikesTweet853,Likes,12,853
User126LikesTweet1427,Likes,126,1427
User137LikesTweet468,Likes,137,468
User137LikesTweet529,Likes,137,529
User129LikesTweet696,Likes,129,696
User38LikesTweet1593,Likes,38,1593
User68LikesTweet631,Likes,68,631
User117LikesTweet570,Likes,117,570
User85LikesTweet1004,Likes,85,1004
User131LikesTweet1140,Likes,131,1140
User33LikesTweet875,Likes,33,875
User7LikesTweet1108,Likes,7,1108
User99LikesTweet700,Likes,99,700
User89LikesTweet276,Likes,89,276
User146LikesTweet257,Likes,146,257
User22LikesTweet224,Likes,22,224
