"~id",~label,~from,~to
User63FollowsUser110,Follows,63,110
User112FollowsUser51,Follows,112,51
User121FollowsUser1,Follows,121,1
User36FollowsUser146,Follows,36,146
User91FollowsUser48,Follows,91,48
User35FollowsUser6,Follows,35,6
User143FollowsUser138,Follows,143,138
User50FollowsUser34,Follows,50,34
User50FollowsUser56,Follows,50,56
User60FollowsUser122,Follows,60,122
User82FollowsUser79,Follows,82,79
User145FollowsUser42,Follows,145,42
User125FollowsUser18,Follows,125,18
User123FollowsUser128,Follows,123,128
User109FollowsUser103,Follows,109,103
User81FollowsUser49,Follows,81,49
User24FollowsUser143,Follows,24,143
User96FollowsUser14,Follows,96,14
User70FollowsUser94,Follows,70,94
User125FollowsUser8,Follows,125,8
User64FollowsUser106,Follows,64,106
User113FollowsUser29,Follows,113,29
User65FollowsUser1,Follows,65,1
User6FollowsUser79,Follows,6,79
User99FollowsUser96,Follows,99,96
User145FollowsUser14,Follows,145,14
User139FollowsUser140,Follows,139,140
User107FollowsUser79,Follows,107,79
User47FollowsUser78,Follows,47,78
User136FollowsUser15,Follows,136,15
User93FollowsUser148,Follows,93,148
User27FollowsUser120,Follows,27,120
User19FollowsUser109,Follows,19,109
User149FollowsUser38,Follows,149,38
User77FollowsUser128,Follows,77,128
User37FollowsUser134,Follows,37,134
User125FollowsUser4,Follows,125,4
User12FollowsUser109,Follows,12,109
User144FollowsUser27,Follows,144,27
User2FollowsUser20,Follows,2,20
User14FollowsUser107,Follows,14,107
User39FollowsUser112,Follows,39,112
User121FollowsUser76,Follows,121,76
User74FollowsUser73,Follows,74,73
User85FollowsUser12,Follows,85,12
User99FollowsUser3,Follows,99,3
User45FollowsUser97,Follows,45,97
User119FollowsUser87,Follows,119,87
User9FollowsUser125,Follows,9,125
User129FollowsUser36,Follows,129,36
User126FollowsUser111,Follows,126,111
User19FollowsUser48,Follows,19,48
User61FollowsUser149,Follows,61,149
User57FollowsUser144,Follows,57,144
User126FollowsUser99,Follows,126,99
User126FollowsUser33,Follows,126,33
User50FollowsUser129,Follows,50,129
User13FollowsUser59,Follows,13,59
User5FollowsUser145,Follows,5,145
User54FollowsUser5,Follows,54,5
User63FollowsUser76,Follows,63,76
User84FollowsUser4,Follows,84,4
User83FollowsUser67,Follows,83,67
User23FollowsUser54,Follows,23,54
User81FollowsUser34,Follows,81,34
User85FollowsUser135,Follows,85,135
User91FollowsUser32,Follows,91,32
User74FollowsUser126,Follows,74,126
User32FollowsUser82,Follows,32,82
User28FollowsUser58,Follows,28,58
User55FollowsUser96,Follows,55,96
User87FollowsUser52,Follows,87,52
User62FollowsUser48,Follows,62,48
User112FollowsUser7,Follows,112,7
User148FollowsUser4,Follows,148,4
User84FollowsUser73,Follows,84,73
User40FollowsUser88,Follows,40,88
User84FollowsUser145,Follows,84,145
User68FollowsUser35,Follows,68,35
User105FollowsUser89,Follows,105,89
User57FollowsUser123,Follows,57,123
User100FollowsUser101,Follows,100,101
User127FollowsUser59,Follows,127,59
User42FollowsUser114,Follows,42,114
User28FollowsUser120,Follows,28,120
User102FollowsUser23,Follows,102,23
User90FollowsUser124,Follows,90,124
User92FollowsUser131,Follows,92,131
User139FollowsUser13,Follows,139,13
User147FollowsUser65,Follows,147,65
User20FollowsUser30,Follows,20,30
User100FollowsUser84,Follows,100,84
User141FollowsUser138,Follows,141,138
User39FollowsUser118,Follows,39,118
User75FollowsUser83,Follows,75,83
User96FollowsUser26,Follows,96,26
User73FollowsUser8,Follows,73,8
User13FollowsUser146,Follows,13,146
User74FollowsUser101,Follows,74,101
User127FollowsUser36,Follows,127,36
User146FollowsUser80,Follows,146,80
User1FollowsUser27,Follows,1,27
User132FollowsUser133,Follows,132,133
User44FollowsUser136,Follows,44,136
User97FollowsUser132,Follows,97,132
User105FollowsUser41,Follows,105,41
User55FollowsUser149,Follows,55,149
User123FollowsUser132,Follows,123,132
User52FollowsUser93,Follows,52,93
User39FollowsUser97,Follows,39,97
User107FollowsUser77,Follows,107,77
User84FollowsUser135,Follows,84,135
User122FollowsUser75,Follows,122,75
User58FollowsUser104,Follows,58,104
User63FollowsUser36,Follows,63,36
User103FollowsUser82,Follows,103,82
User99FollowsUser9,Follows,99,9
User94FollowsUser7,Follows,94,7
User129FollowsUser106,Follows,129,106
User68FollowsUser128,Follows,68,128
User60FollowsUser129,Follows,60,129
User140FollowsUser38,Follows,140,38
User131FollowsUser44,Follows,131,44
User63FollowsUser106,Follows,63,106
User49FollowsUser77,Follows,49,77
User14FollowsUser117,Follows,14,117
User116FollowsUser26,Follows,116,26
User26FollowsUser109,Follows,26,109
User84FollowsUser3,Follows,84,3
User60FollowsUser57,Follows,60,57
User35FollowsUser116,Follows,35,116
User95FollowsUser73,Follows,95,73
User26FollowsUser1,Follows,26,1
User106FollowsUser67,Follows,106,67
User94FollowsUser37,Follows,94,37
User72FollowsUser136,Follows,72,136
User91FollowsUser14,Follows,91,14
User124FollowsUser34,Follows,124,34
User124FollowsUser56,Follows,124,56
User36FollowsUser83,Follows,36,83
User7FollowsUser136,Follows,7,136
User10FollowsUser103,Follows,10,103
User33FollowsUser62,Follows,33,62
User44FollowsUser98,Follows,44,98
User13FollowsUser67,Follows,13,67
User109FollowsUser62,Follows,109,62
User112FollowsUser19,Follows,112,19
User11FollowsUser65,Follows,11,65
User28FollowsUser4,Follows,28,4
User95FollowsUser130,Follows,95,130
User39FollowsUser85,Follows,39,85
User108FollowsUser140,Follows,108,140
User53FollowsUser148,Follows,53,148
User5FollowsUser25,Follows,5,25
User52FollowsUser44,Follows,52,44
User3FollowsUser140,Follows,3,140
User80FollowsUser66,Follows,80,66
User123FollowsUser93,Follows,123,93
User143FollowsUser36,Follows,143,36
User92FollowsUser50,Follows,92,50
User140FollowsUser43,Follows,140,43
User139FollowsUser19,Follows,139,19
User4FollowsUser48,Follows,4,48
User52FollowsUser5,Follows,52,5
User48FollowsUser140,Follows,48,140
User122FollowsUser2,Follows,122,2
User53FollowsUser142,Follows,53,142
User28FollowsUser136,Follows,28,136
User132FollowsUser89,Follows,132,89
User96FollowsUser124,Follows,96,124
User38FollowsUser104,Follows,38,104
User78FollowsUser28,Follows,78,28
User101FollowsUser67,Follows,101,67
User33FollowsUser36,Follows,33,36
User13FollowsUser24,Follows,13,24
User41FollowsUser132,Follows,41,132
User92FollowsUser112,Follows,92,112
User36FollowsUser88,Follows,36,88
User11FollowsUser61,Follows,11,61
User21FollowsUser61,Follows,21,61
User70FollowsUser131,Follows,70,131
User106FollowsUser57,Follows,106,57
User95FollowsUser132,Follows,95,132
User134FollowsUser112,Follows,134,112
User122FollowsUser45,Follows,122,45
User87FollowsUser54,Follows,87,54
User76FollowsUser112,Follows,76,112
User60FollowsUser3,Follows,60,3
User8FollowsUser37,Follows,8,37
User15FollowsUser98,Follows,15,98
User20FollowsUser136,Follows,20,136
User19FollowsUser37,Follows,19,37
User79FollowsUser127,Follows,79,127
User118FollowsUser73,Follows,118,73
User22FollowsUser115,Follows,22,115
User57FollowsUser78,Follows,57,78
User66FollowsUser25,Follows,66,25
User30FollowsUser139,Follows,30,139
User19FollowsUser32,Follows,19,32
User55FollowsUser25,Follows,55,25
User38FollowsUser18,Follows,38,18
User34FollowsUser39,Follows,34,39
User99FollowsUser102,Follows,99,102
User67FollowsUser120,Follows,67,120
User52FollowsUser111,Follows,52,111
User57FollowsUser105,Follows,57,105
User107FollowsUser149,Follows,107,149
User97FollowsUser37,Follows,97,37
User7FollowsUser28,Follows,7,28
User48FollowsUser102,Follows,48,102
User148FollowsUser102,Follows,148,102
User66FollowsUser10,Follows,66,10
User69FollowsUser20,Follows,69,20
User28FollowsUser46,Follows,28,46
User81FollowsUser102,Follows,81,102
User105FollowsUser127,Follows,105,127
User118FollowsUser93,Follows,118,93
User52FollowsUser11,Follows,52,11
User69FollowsUser41,Follows,69,41
User131FollowsUser117,Follows,131,117
User73FollowsUser11,Follows,73,11
User97FollowsUser98,Follows,97,98
User28FollowsUser116,Follows,28,116
User36FollowsUser64,Follows,36,64
User71FollowsUser96,Follows,71,96
User10FollowsUser30,Follows,10,30
User4FollowsUser52,Follows,4,52
User88FollowsUser147,Follows,88,147
User15FollowsUser40,Follows,15,40
User84FollowsUser29,Follows,84,29
User137FollowsUser44,Follows,137,44
User20FollowsUser84,Follows,20,84
User31FollowsUser61,Follows,31,61
User82FollowsUser19,Follows,82,19
User42FollowsUser70,Follows,42,70
User148FollowsUser135,Follows,148,135
User64FollowsUser99,Follows,64,99
User91FollowsUser56,Follows,91,56
User38FollowsUser51,Follows,38,51
User20FollowsUser75,Follows,20,75
User71FollowsUser101,Follows,71,101
User141FollowsUser64,Follows,141,64
User128FollowsUser52,Follows,128,52
User130FollowsUser136,Follows,130,136
User62FollowsUser34,Follows,62,34
User124FollowsUser82,Follows,124,82
User110FollowsUser98,Follows,110,98
User17FollowsUser120,Follows,17,120
User21FollowsUser81,Follows,21,81
User29FollowsUser124,Follows,29,124
User61FollowsUser57,Follows,61,57
User66FollowsUser28,Follows,66,28
User66FollowsUser143,Follows,66,143
User70FollowsUser5,Follows,70,5
User127FollowsUser101,Follows,127,101
User81FollowsUser25,Follows,81,25
User85FollowsUser34,Follows,85,34
User141FollowsUser63,Follows,141,63
User119FollowsUser141,Follows,119,141
User10FollowsUser13,Follows,10,13
User135FollowsUser116,Follows,135,116
User125FollowsUser3,Follows,125,3
User128FollowsUser95,Follows,128,95
User81FollowsUser21,Follows,81,21
User79FollowsUser13,Follows,79,13
User19FollowsUser3,Follows,19,3
User45FollowsUser28,Follows,45,28
User45FollowsUser90,Follows,45,90
User145FollowsUser57,Follows,145,57
User28FollowsUser142,Follows,28,142
User61FollowsUser4,Follows,61,4
User85FollowsUser144,Follows,85,144
User66FollowsUser128,Follows,66,128
User126FollowsUser51,Follows,126,51
User17FollowsUser59,Follows,17,59
User11FollowsUser45,Follows,11,45
User12FollowsUser7,Follows,12,7
User133FollowsUser92,Follows,133,92
User106FollowsUser23,Follows,106,23
User111FollowsUser84,Follows,111,84
User48FollowsUser26,Follows,48,26
User123FollowsUser134,Follows,123,134
User42FollowsUser33,Follows,42,33
User30FollowsUser104,Follows,30,104
User89FollowsUser85,Follows,89,85
User144FollowsUser13,Follows,144,13
User137FollowsUser76,Follows,137,76
User118FollowsUser75,Follows,118,75
User8FollowsUser17,Follows,8,17
User91FollowsUser52,Follows,91,52
User122FollowsUser53,Follows,122,53
User93FollowsUser11,Follows,93,11
User17FollowsUser24,Follows,17,24
User95FollowsUser59,Follows,95,59
User22FollowsUser117,Follows,22,117
User128FollowsUser129,Follows,128,129
User67FollowsUser6,Follows,67,6
User138FollowsUser134,Follows,138,134
User20FollowsUser131,Follows,20,131
User55FollowsUser145,Follows,55,145
User87FollowsUser146,Follows,87,146
User61FollowsUser44,Follows,61,44
User145FollowsUser117,Follows,145,117
User147FollowsUser73,Follows,147,73
User116FollowsUser14,Follows,116,14
User14FollowsUser39,Follows,14,39
User43FollowsUser21,Follows,43,21
User115FollowsUser90,Follows,115,90
User129FollowsUser87,Follows,129,87
User18FollowsUser51,Follows,18,51
User115FollowsUser31,Follows,115,31
User41FollowsUser144,Follows,41,144
User33FollowsUser77,Follows,33,77
User12FollowsUser116,Follows,12,116
User109FollowsUser92,Follows,109,92
User55FollowsUser138,Follows,55,138
User140FollowsUser50,Follows,140,50
User45FollowsUser73,Follows,45,73
User135FollowsUser128,Follows,135,128
User125FollowsUser135,Follows,125,135
