"~id",~label,~from,~to
User33RetweetsTweet1076,Retweets,33,1076
User5RetweetsTweet1307,Retweets,5,1307
User98RetweetsTweet1124,Retweets,98,1124
User97RetweetsTweet771,Retweets,97,771
User11RetweetsTweet873,Retweets,11,873
User127RetweetsTweet514,Retweets,127,514
User74RetweetsTweet1559,Retweets,74,1559
User126RetweetsTweet161,Retweets,126,161
User80RetweetsTweet912,Retweets,80,912
User88RetweetsTweet511,Retweets,88,511
User123RetweetsTweet1537,Retweets,123,1537
User128RetweetsTweet1060,Retweets,128,1060
User40RetweetsTweet1051,Retweets,40,1051
User54RetweetsTweet309,Retweets,54,309
User35RetweetsTweet308,Retweets,35,308
User34RetweetsTweet1278,Retweets,34,1278
User139RetweetsTweet1059,Retweets,139,1059
User34RetweetsTweet236,Retweets,34,236
User46RetweetsTweet1517,Retweets,46,1517
User77RetweetsTweet998,Retweets,77,998
User64RetweetsTweet865,Retweets,64,865
User123RetweetsTweet429,Retweets,123,429
User128RetweetsTweet1528,Retweets,128,1528
User12RetweetsTweet881,Retweets,12,881
User84RetweetsTweet464,Retweets,84,464
User73RetweetsTweet909,Retweets,73,909
User134RetweetsTweet452,Retweets,134,452
User142RetweetsTweet322,Retweets,142,322
User113RetweetsTweet778,Retweets,113,778
User146RetweetsTweet1306,Retweets,146,1306
User108RetweetsTweet716,Retweets,108,716
User90RetweetsTweet1044,Retweets,90,1044
User12RetweetsTweet238,Retweets,12,238
User104RetweetsTweet261,Retweets,104,261
User23RetweetsTweet1464,Retweets,23,1464
User148RetweetsTweet944,Retweets,148,944
User111RetweetsTweet302,Retweets,111,302
User14RetweetsTweet1072,Retweets,14,1072
User83RetweetsTweet1321,Retweets,83,1321
User52RetweetsTweet665,Retweets,52,665
User97RetweetsTweet1355,Retweets,97,1355
User92RetweetsTweet922,Retweets,92,922
User92RetweetsTweet758,Retweets,92,758
User134RetweetsTweet1633,Retweets,134,1633
User59RetweetsTweet1515,Retweets,59,1515
User40RetweetsTweet361,Retweets,40,361
User89RetweetsTweet278,Retweets,89,278
User12RetweetsTweet226,Retweets,12,226
