"~id",~label,~from,~to
Tweet1414MentionsUser70,Mentions,1414,70
Tweet196MentionsUser144,Mentions,196,144
Tweet783MentionsUser29,Mentions,783,29
Tweet490MentionsUser18,Mentions,490,18
Tweet1473MentionsUser66,Mentions,1473,66
Tweet1405MentionsUser41,Mentions,1405,41
Tweet351MentionsUser122,Mentions,351,122
Tweet405MentionsUser91,Mentions,405,91
Tweet1364MentionsUser96,Mentions,1364,96
Tweet623MentionsUser12,Mentions,623,12
Tweet1195MentionsUser129,Mentions,1195,129
Tweet1493MentionsUser113,Mentions,1493,113
Tweet1287MentionsUser59,Mentions,1287,59
Tweet1334MentionsUser67,Mentions,1334,67
Tweet1292MentionsUser14,Mentions,1292,14
Tweet1027MentionsUser149,Mentions,1027,149
Tweet263MentionsUser113,Mentions,263,113
Tweet403MentionsUser91,Mentions,403,91
Tweet693MentionsUser69,Mentions,693,69
Tweet324MentionsUser76,Mentions,324,76
Tweet1054MentionsUser72,Mentions,1054,72
Tweet961MentionsUser112,Mentions,961,112
Tweet1647MentionsUser31,Mentions,1647,31
Tweet613MentionsUser133,Mentions,613,133
Tweet542MentionsUser77,Mentions,542,77
Tweet694MentionsUser116,Mentions,694,116
Tweet1081MentionsUser43,Mentions,1081,43
Tweet1579MentionsUser108,Mentions,1579,108
Tweet723MentionsUser32,Mentions,723,32
Tweet402MentionsUser105,Mentions,402,105
Tweet315MentionsUser111,Mentions,315,111
Tweet1029MentionsUser125,Mentions,1029,125
Tweet698MentionsUser6,Mentions,698,6
Tweet1197MentionsUser38,Mentions,1197,38
Tweet835MentionsUser92,Mentions,835,92
Tweet358MentionsUser23,Mentions,358,23
Tweet1428MentionsUser6,Mentions,1428,6
Tweet1647MentionsUser41,Mentions,1647,41
Tweet1581MentionsUser78,Mentions,1581,78
Tweet292MentionsUser95,Mentions,292,95
Tweet1328MentionsUser3,Mentions,1328,3
Tweet294MentionsUser125,Mentions,294,125
Tweet244MentionsUser136,Mentions,244,136
Tweet1400MentionsUser97,Mentions,1400,97
Tweet1635MentionsUser13,Mentions,1635,13
Tweet709MentionsUser13,Mentions,709,13
Tweet916MentionsUser19,Mentions,916,19
Tweet551MentionsUser128,Mentions,551,128
Tweet1320MentionsUser9,Mentions,1320,9
Tweet1304MentionsUser10,Mentions,1304,10
Tweet390MentionsUser71,Mentions,390,71
Tweet1554MentionsUser96,Mentions,1554,96
Tweet204MentionsUser3,Mentions,204,3
Tweet1464MentionsUser5,Mentions,1464,5
Tweet1516MentionsUser114,Mentions,1516,114
Tweet330MentionsUser84,Mentions,330,84
Tweet281MentionsUser98,Mentions,281,98
Tweet1023MentionsUser123,Mentions,1023,123
Tweet1091MentionsUser97,Mentions,1091,97
Tweet1343MentionsUser11,Mentions,1343,11
Tweet713MentionsUser79,Mentions,713,79
Tweet761MentionsUser115,Mentions,761,115
Tweet912MentionsUser41,Mentions,912,41
Tweet1081MentionsUser93,Mentions,1081,93
Tweet1265MentionsUser17,Mentions,1265,17
Tweet1481MentionsUser130,Mentions,1481,130
Tweet1531MentionsUser31,Mentions,1531,31
Tweet688MentionsUser96,Mentions,688,96
Tweet759MentionsUser6,Mentions,759,6
Tweet415MentionsUser102,Mentions,415,102
Tweet639MentionsUser99,Mentions,639,99
Tweet861MentionsUser124,Mentions,861,124
Tweet315MentionsUser94,Mentions,315,94
Tweet584MentionsUser111,Mentions,584,111
Tweet1074MentionsUser88,Mentions,1074,88
Tweet757MentionsUser32,Mentions,757,32
Tweet447MentionsUser118,Mentions,447,118
Tweet246MentionsUser8,Mentions,246,8
Tweet248MentionsUser118,Mentions,248,118
Tweet779MentionsUser119,Mentions,779,119
Tweet747MentionsUser125,Mentions,747,125
Tweet611MentionsUser44,Mentions,611,44
Tweet683MentionsUser3,Mentions,683,3
Tweet632MentionsUser115,Mentions,632,115
Tweet987MentionsUser17,Mentions,987,17
Tweet957MentionsUser126,Mentions,957,126
Tweet1288MentionsUser75,Mentions,1288,75
Tweet869MentionsUser112,Mentions,869,112
Tweet293MentionsUser33,Mentions,293,33
Tweet1333MentionsUser40,Mentions,1333,40
Tweet1453MentionsUser114,Mentions,1453,114
Tweet387MentionsUser79,Mentions,387,79
Tweet718MentionsUser124,Mentions,718,124
Tweet1141MentionsUser17,Mentions,1141,17
Tweet503MentionsUser52,Mentions,503,52
Tweet784MentionsUser66,Mentions,784,66
Tweet1257MentionsUser83,Mentions,1257,83
Tweet1633MentionsUser69,Mentions,1633,69
Tweet206MentionsUser34,Mentions,206,34
Tweet841MentionsUser56,Mentions,841,56
Tweet1237MentionsUser131,Mentions,1237,131
Tweet550MentionsUser34,Mentions,550,34
Tweet1309MentionsUser6,Mentions,1309,6
Tweet1316MentionsUser59,Mentions,1316,59
Tweet201MentionsUser79,Mentions,201,79
Tweet851MentionsUser149,Mentions,851,149
Tweet1506MentionsUser89,Mentions,1506,89
Tweet1126MentionsUser80,Mentions,1126,80
Tweet1424MentionsUser106,Mentions,1424,106
Tweet1071MentionsUser87,Mentions,1071,87
Tweet474MentionsUser107,Mentions,474,107
Tweet1647MentionsUser85,Mentions,1647,85
Tweet1227MentionsUser61,Mentions,1227,61
Tweet530MentionsUser115,Mentions,530,115
Tweet1518MentionsUser45,Mentions,1518,45
Tweet910MentionsUser101,Mentions,910,101
Tweet376MentionsUser21,Mentions,376,21
Tweet626MentionsUser34,Mentions,626,34
Tweet1620MentionsUser67,Mentions,1620,67
Tweet1027MentionsUser110,Mentions,1027,110
Tweet978MentionsUser37,Mentions,978,37
Tweet836MentionsUser6,Mentions,836,6
Tweet753MentionsUser1,Mentions,753,1
